epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,657.32,2.22249,3.63166,2.00851,0.19896,0.14384,0.09417,0.04076,1.83411,8.92524,1.79121,0.000666,0.000666,0.000666
2,1138.29,2.11214,3.0736,1.94302,0.34877,0.12954,0.13238,0.0579,1.8225,3.64298,1.72917,0.00130628,0.00130628,0.00130628
3,1609.42,2.08131,2.96747,1.9411,0.28524,0.20584,0.15475,0.07168,1.72227,3.34808,1.69041,0.00192016,0.00192016,0.00192016
4,2077.74,2.02226,2.75217,1.89214,0.3497,0.20225,0.18054,0.09476,1.65763,4.14263,1.63647,0.0018812,0.0018812,0.0018812
5,2547.93,1.96649,2.70016,1.84597,0.31534,0.20097,0.16555,0.07867,1.69308,5.04859,1.67598,0.0018416,0.0018416,0.0018416
6,3354.69,1.92132,2.72486,1.80108,0.34539,0.22046,0.18876,0.09396,1.64607,4.39016,1.63521,0.001802,0.001802,0.001802
