Experiment,mAP50,mAP50-95,Precision,Recall,Epochs,Optimizer
"Baseline (M2)
YOLOv8s Auto 10ep",0.162,0.0741,0.445,0.184,10,Auto
"Exp1 (M3)
YOLOv8s AdamW 20ep",0.1761,0.079,0.3886,0.196,20,AdamW
