name,model,map50,map95,prec,rec,bbox_quality,vs_baseline
D1_YOLOv8m,yolov8m.pt,0.04629550216614944,0.020167700481081862,0.695064454313569,0.052745212745212745,0.03323160132361565,-0.0195
D2_LowLR,yolov8s.pt,0.05916327442354462,0.025055773111967466,0.3683302094188738,0.07247229604372461,0.04210952376775604,-0.0066
D3_LowThresh,yolov8s.pt,0.0573514577480981,0.026511318942378997,0.17486563833632832,0.06235340163911592,0.041931388345238546,-0.0084
D4_SGD,yolov8s.pt,0.04457565247053761,0.017335855480382533,0.5502893908009661,0.04363298610784718,0.03095575397546007,-0.0212
